01,00,173,0
01,01,208,0
01,02,314,0
01,03,405,0
01,04,589,0
01,05,759,0
01,06,812,0
01,07,631,0
01,08,1018,0
01,09,1038,0
01,10,1063,1
01,11,651,0
01,12,467,0
01,13,387,0
01,14,240,0
01,15,146,0
01,16,180,0
01,17,342,0
01,18,623,0
01,19,659,0
01,20,473,0
01,21,313,0
01,22,250,0
01,23,485,0
02,00,225,0
02,01,161,0
02,02,167,0
02,03,374,0
02,04,558,0
02,05,753,0
02,06,759,0
02,07,692,0
02,08,1032,0
02,09,1198,1
02,10,905,0
02,11,684,0
02,12,444,0
02,13,413,0
02,14,293,0
02,15,195,0
02,16,283,0
02,17,228,0
02,18,628,0
02,19,723,0
02,20,504,0
02,21,379,0
02,22,344,0
02,23,485,0
03,00,269,0
03,01,56,0
03,02,72,0
03,03,329,0
03,04,483,0
03,05,669,0
03,06,725,0
03,07,664,0
03,08,1065,1
03,09,1179,1
03,10,907,0
03,11,666,0
03,12,483,0
03,13,441,0
03,14,381,0
03,15,367,0
03,16,393,0
03,17,189,0
03,18,427,0
03,19,566,0
03,20,552,0
03,21,393,0
03,22,358,0
03,23,485,0
04,00,214,0
04,01,0,0
04,02,124,0
04,03,222,0
04,04,420,0
04,05,594,0
04,06,712,0
04,07,1047,0
04,08,1141,1
04,09,959,0
04,10,798,0
04,11,590,0
04,12,587,0
04,13,359,0
04,14,338,0
04,15,419,0
04,16,320,0
04,17,192,0
04,18,364,0
04,19,275,0
04,20,317,0
04,21,339,0
04,22,258,0
04,23,485,0
05,00,319,0
05,01,263,0
05,02,336,0
05,03,454,0
05,04,584,0
05,05,678,0
05,06,786,0
05,07,702,0
05,08,1003,0
05,09,1134,1
05,10,1012,0
05,11,677,0
05,12,482,0
05,13,370,0
05,14,259,0
05,15,194,0
05,16,275,0
05,17,240,0
05,18,590,0
05,19,674,0
05,20,467,0
05,21,236,0
05,22,202,0
05,23,483,0
06,00,217,0
06,01,296,0
06,02,361,0
06,03,471,0
06,04,602,0
06,05,716,0
06,06,749,0
06,07,648,0
06,08,1095,1
06,09,1146,1
06,10,1009,0
06,11,684,0
06,12,503,0
06,13,425,0
06,14,278,0
06,15,90,0
06,16,228,0
06,17,230,0
06,18,682,0
06,19,669,0
06,20,392,0
06,21,284,0
06,22,187,0
06,23,485,0
